Application,Stars,URL,Confirmed,Codeql,FP Reason,Types,,Input,,,Status,Comment
,,,,,,Get,Set,,Remote,Local,,
ChatGLM-LLaMA-chinese-insturct,390,https://github.com/27182812/ChatGLM-LLaMA-chinese-insturct,N/A,Y,,Attr,Attr,,import_starlette|import_fastapi,,,,Yes
ChatGLM-LLaMA-chinese-insturct,390,https://github.com/27182812/ChatGLM-LLaMA-chinese-insturct,N/A,Y,,Attr,Attr,,import_starlette|import_fastapi,,,,Yes
mock,389,https://github.com/rpm-software-management/mock,N/A,Y,,Attr,Attr,,,,,,Yes
mock,389,https://github.com/rpm-software-management/mock,N/A,Y,,Attr,Field,,,,,,Yes
embodied-generalist,388,https://github.com/embodied-generalist/embodied-generalist,N/A,Y,,Attr,Attr,,,,,,Yes
lamar-benchmark,388,https://github.com/microsoft/lamar-benchmark,N/A,Y,,Attr,Attr,,,,,,Yes
vision-aided-gan,387,https://github.com/nupurkmr9/vision-aided-gan,N/A,Y,,Attr,Attr,,,,,,Yes
Finetune_LLAMA,382,https://github.com/chaoyi-wu/Finetune_LLAMA,N/A,Y,,Attr,Attr,,import_starlette|import_fastapi,,,,Yes
Finetune_LLAMA,382,https://github.com/chaoyi-wu/Finetune_LLAMA,N/A,Y,,Attr,Attr,,import_starlette|import_fastapi,,,,Yes
mindone,378,https://github.com/mindspore-lab/mindone,N/A,Y,,Attr,Attr,,import_aiohttp|import_flask,,,,Yes
