Application,Downloads,URL,Confirmed,Codeql,FP Reason,Types,,Input,,,Status,Comment,New
datarobotx,519811,https://pypi.org/project/datarobotx,N/A,Y,,Attr,Attr,,import_aiohttp,,,,Yes
djangorestframework-dataclasses,506171,https://pypi.org/project/djangorestframework-dataclasses,N/A,Y,,Attr,Attr,,import_django,,,,Yes
azure-containerregistry,476858,https://pypi.org/project/azure-containerregistry,N/A,Y,,Attr,Attr,,,,,,Yes
ibis-framework,454170,https://pypi.org/project/ibis-framework,N/A,Y,,Attr,Attr,,,,,,Yes
docarray,442112,https://pypi.org/project/docarray,N/A,Y,,Attr,Attr,,.get/.post/.api_route|import_fastapi,,,,No
paddlepaddle,438267,https://pypi.org/project/paddlepaddle,N/A,Y,,Attr,Attr,,,,,,Yes
tf-keras-nightly,414442,https://pypi.org/project/tf-keras-nightly,N/A,Y,,Attr/Field,Attr/Field,,,,,,Yes
traits,398300,https://pypi.org/project/traits,N/A,Y,,Attr,Attr,,,,,,Yes
azureml-train-automl-client,392477,https://pypi.org/project/azureml-train-automl-client,N/A,Y,,Attr/Field,Attr,,,,,,Yes
azure-mgmt-quota,386698,https://pypi.org/project/azure-mgmt-quota,N/A,Y,,Attr,Attr,,,,,,Yes
clearml,381030,https://pypi.org/project/clearml,Y,Y,,Attr/Field,Attr/Field,Function,import_starlette|import_fastapi,,,,No
clearml,381030,https://pypi.org/project/clearml,N/A,Y,,Attr/Field,Field,,,,,,No
clearml,381030,https://pypi.org/project/clearml,N/A,Y,,Attr,Field,,,,,,No
spyne,370553,https://pypi.org/project/spyne,N/A,Y,,Attr,Attr,,add_route|import_django|route_name=|import_cherrypy|import_flask|.route|import_pyramid,,,,No
spyne,370553,https://pypi.org/project/spyne,N/A,Y,,Attr,Field,,,,,,No
beanie,362462,https://pypi.org/project/beanie,N,Y,,Attr/Field,Attr/Field,,,,,,No
tensorflow-model-optimization,352293,https://pypi.org/project/tensorflow-model-optimization,N/A,Y,,Attr,Attr,,,,,,Yes
litestar,348273,https://pypi.org/project/litestar,N/A,Y,,Attr/Field,Field,,,,,,No
litestar,348273,https://pypi.org/project/litestar,N/A,Y,,Attr,Field,,,,,,No
robocorp-log,343316,https://pypi.org/project/robocorp-log,N/A,Y,,Attr,Attr,,,,,,Yes
cloudinary,337056,https://pypi.org/project/cloudinary,N/A,Y,,Attr,Field,,import_django,,,,Yes
pyro-ppl,299735,https://pypi.org/project/pyro-ppl,N/A,Y,,Attr,Attr,,,,,,Yes
bigframes,299218,https://pypi.org/project/bigframes,N/A,Y,,Attr,Attr,,import_flask,,,,Yes
azure-eventhub-checkpointstoreblob-aio,297132,https://pypi.org/project/azure-eventhub-checkpointstoreblob-aio,N/A,Y,,Attr,Attr,,,,,,Yes
