Application,Downloads,URL,Codeql,Confirmed (Function-level),Func Name (Path),FP Reason,Types,,Input,,,Status,Comment,New
stringparser,127304,https://pypi.org/project/stringparser,Y,Y,,,Attr/Field,Attr/Field,Function,,,,base obj is a dict lol,Yes
azure-ai-projects,120762,https://pypi.org/project/azure-ai-projects,Y,N/A,,,Attr,Attr,,,,,,Yes
deepdiff6,119680,https://pypi.org/project/deepdiff6,Y,Y,,,Attr/Field,Attr/Field,Function,,,,,No
pyodps,118602,https://pypi.org/project/pyodps,Y,N/A,,,Attr,Attr,,import_tornado,,,,Yes
crosshair-tool,110489,https://pypi.org/project/crosshair-tool,Y,N/A,,,Attr,Attr,,,,,,Yes
crosshair-tool,110489,https://pypi.org/project/crosshair-tool,Y,N/A,,,Attr,Field,,,,,,Yes
fairseq,107548,https://pypi.org/project/fairseq,Y,N/A,,,Attr,Attr,,,,,,No
zope,102943,https://pypi.org/project/zope,Y,N/A,,,Attr/Field,Attr,,,,,,Yes
azure-ai-translation-text,100146,https://pypi.org/project/azure-ai-translation-text,Y,N/A,,,Attr,Attr,,,,,,Yes
weave,97354,https://pypi.org/project/weave,Y,N/A,,,Attr,Attr,,import_aiohttp|.get/.post/.api_route|import_fastapi,,,,Yes
ai-edge-torch-nightly,95606,https://pypi.org/project/ai-edge-torch-nightly,Y,N/A,,,Attr,Attr,,,,,,Yes
django-auth-adfs,91467,https://pypi.org/project/django-auth-adfs,Y,Y,,,Attr,Attr,Function,import_django|django_re_path,,,,Yes
azure-mgmt-kubernetesconfiguration,85039,https://pypi.org/project/azure-mgmt-kubernetesconfiguration,Y,N/A,,,Attr,Attr,,,,,,Yes
testslide,84865,https://pypi.org/project/testslide,Y,N/A,,,Attr,Attr,,,,,,Yes
lumigo-tracer,84493,https://pypi.org/project/lumigo-tracer,Y,N/A,,,Attr,Attr,,import_aiohttp,,,,Yes
river,72874,https://pypi.org/project/river,Y,N/A,,,Attr,Attr,,,,,,No
