Application,Stars,URL,Codeql,Confirmed (Function-level),Func Name (Path),FP Reason (If Not),Types,,Input,,,Status,Comment,New
torchlens,525,https://github.com/johnmarktaylor91/torchlens,Y,Y,,duplicated with Github dataset.,Attr/Field,Attr/Field,,,,,,
Rofunc,524,https://github.com/Skylark0924/Rofunc,Y,N,,"issac_utils:apply_random_samples, false positive",,,,,,,,
graphql-core,516,https://github.com/graphql-python/graphql-core,Y,N/A,,,Attr,Attr,,,,,,Yes
TorchSemiSeg,509,https://github.com/charlesCXK/TorchSemiSeg,Y,N,,amp library: set_fn false positive,,,,,,,,
attention_with_linear_biases,507,https://github.com/ofirpress/attention_with_linear_biases,Y,N/A,,,Attr,Attr,,,,,,Yes
attn2d,503,https://github.com/elbayadm/attn2d,Y,N/A,,,Attr,Attr,,,,,,Yes
attn2d,503,https://github.com/elbayadm/attn2d,Y,N/A,,,Attr,Attr,,,,,,Yes
attn2d,503,https://github.com/elbayadm/attn2d,Y,N/A,,,Attr,Attr,,,,,,Yes
CodeRL,502,https://github.com/salesforce/CodeRL,Y,N/A,,,Attr,Attr,,import_starlette|import_fastapi,,,,Yes
FewCLUE,500,https://github.com/CLUEbenchmark/FewCLUE,Y,N/A,,,Attr/Field,Field,,,,,,Yes
FewCLUE,500,https://github.com/CLUEbenchmark/FewCLUE,Y,N/A,,,Attr,Field,,,,,,Yes
LaViLa,498,https://github.com/facebookresearch/LaViLa,Y,N/A,,,Attr,Attr,,,,,,Yes
rl-mpc-locomotion,494,https://github.com/silvery107/rl-mpc-locomotion,Y,N/A,,,Attr,Attr,,,,,,Yes
EdiZon_CheatsConfigsAndScripts,493,https://github.com/WerWolv/EdiZon_CheatsConfigsAndScripts,Y,N,,"copy.py , false positive",,,,,,,,
ccs-calendarserver,490,https://github.com/apple/ccs-calendarserver,Y,N/A,,,Attr,Attr,,,,,,Yes
ccs-calendarserver,490,https://github.com/apple/ccs-calendarserver,Y,N/A,,,Attr,Attr,,,,,,Yes
golem,489,https://github.com/golemhq/golem,Y,N/A,,,Attr,Attr,,.route|import_flask,,,,Yes
OccNet-Course,488,https://github.com/Charmve/OccNet-Course,Y,N/A,,,Attr,Attr,,.route|import_flask,,,,Yes
OccNet-Course,488,https://github.com/Charmve/OccNet-Course,Y,N/A,,,Attr,Attr,,.route|import_flask,,,,Yes
robocorp,488,https://github.com/robocorp/robocorp,Y,N/A,,,Attr,Attr,,,,,,Yes
Multi-Modality-Arena,478,https://github.com/OpenGVLab/Multi-Modality-Arena,Y,N/A,,,Attr,Attr,,.get/.post/.api_route|import_fastapi,,,,Yes
Multi-Modality-Arena,478,https://github.com/OpenGVLab/Multi-Modality-Arena,Y,N/A,,,Attr,Attr,,.get/.post/.api_route|import_fastapi,,,,Yes
BitBLAS,477,https://github.com/microsoft/BitBLAS,Y,N/A,,,Attr,Attr,,,,,,Yes
dovpanda,475,https://github.com/dovpanda-dev/dovpanda,Y,N/A,,,Attr,Attr,,,,,,Yes
dovpanda,475,https://github.com/dovpanda-dev/dovpanda,Y,N/A,,,Attr,Attr,,,,,,Yes
qserve,471,https://github.com/mit-han-lab/qserve,Y,N/A,,,Attr,Attr,,,,,,Yes
archai,470,https://github.com/microsoft/archai,Y,N/A,,,Attr,Attr,,,,,,Yes
GoBigger,463,https://github.com/opendilab/GoBigger,Y,N/A,,,Attr/Field,Field,,,,,,Yes
GoBigger,463,https://github.com/opendilab/GoBigger,Y,N/A,,,Attr,Field,,,,,,Yes
