Application,Downloads,URL,Codeql,Confirmed (Function-level),Func Name (Path),FP Reason (If Not),Types,,Input,,,Status,Comment,New
pogom,548,https://github.com/favll/pogom,Y,N/A,,,Attr,Attr,,.route|import_flask,,,,Yes
VPTQ,545,https://github.com/microsoft/VPTQ,Y,N/A,set_op_by_name:vptq/layers/model_base.py,,Attr,Attr,,import_gradio,,,,Yes
pygfx,544,https://github.com/pygfx/pygfx,Y,N/A,"update_value:examples/feature_demo/light_spotlight_shadows.py,update_value:examples/feature_demo/light_spotlights.py",,Attr,Attr,,django_path|import_pytorch_lightning,,,,Yes
mcap,540,https://github.com/foxglove/mcap,Y,N/A,_fill_val:python/mcap-ros1-support/mcap_ros1/_vendor/genpy/message.py,,Attr,Attr,,,,,,Yes
mcap,540,https://github.com/foxglove/mcap,Y,N/A,,,Attr,Attr,,,,,,Yes
astroid,538,https://github.com/pylint-dev/astroid,Y,N/A,_visit_generic:astroid/transforms.py,,Attr,Attr,,,,,,Yes
Chinese-Llama-2,534,https://github.com/longyuewangdcu/Chinese-Llama-2,Y,N/A,,,Attr,Attr,,import_starlette|import_fastapi,,,,Yes
oxo,533,https://github.com/Ostorlab/oxo,Y,N/A,"_parse_dict:src/ostorlab/agent/message/serializer.py,__init__:src/ostorlab/agent/agent.py,__init__:src/ostorlab/agent/mixins/agent_open_telemetry_mixin.py,emit_raw:src/ostorlab/agent/agent.py,_prepare_message:src/ostorlab/agent/agent.py,emit:src/ostorlab/agent/mixins/agent_open_telemetry_mixin.py,to_dict:src/ostorlab/agent/mixins/agent_report_vulnerability_mixin.py,report_vulnerability:src/ostorlab/agent/mixins/agent_report_vulnerability_mixin.py,start:tests/agent/agent_test.py,_parse_list:src/ostorlab/agent/message/serializer.py",,Attr,Attr,,import_flask|dot_add_url_rule|.route,,,,Yes
oxo,533,https://github.com/Ostorlab/oxo,Y,N/A,,,Attr,Attr,,.route|import_flask|dot_add_url_rule,,,,Yes
google-ads-python,533,https://github.com/googleads/google-ads-python,Y,N/A,set_nested_message_field:google/ads/googleads/util.py,,Attr,Attr,,,,,,Yes
CoTNet,527,https://github.com/JDAI-CV/CoTNet,Y,N/A,set_layer:models/helpers.py,,Attr,Attr,,,,,,Yes
CoTNet,527,https://github.com/JDAI-CV/CoTNet,Y,N/A,,,Attr,Attr,,,,,,Yes
PIRender,527,https://github.com/RenYurui/PIRender,Y,N/A,rsetattr:config.py,,Attr,Attr,,,,,,Yes
torchlens,525,https://github.com/johnmarktaylor91/torchlens,Y,Y,"undecorate_pytorch:torchlens/decorate_torch.py,nested_assign:torchlens/helper_funcs.py",duplicated with Github dataset.,Attr/Field,Attr/Field,,,,,,
Rofunc,524,https://github.com/Skylark0924/Rofunc,Y,N,,"issac_utils:apply_random_samples, false positive",,,,,,,,
